ID,Stratum,landcover,alertstrata,Long,Lat,zone,x,y,pixel,line,centxUTM,centyUTM,MGRS,GlobalForestChangeYear(Hansen2013)
65,5,1,5,105.7975165,21.41162519,48,582657.5467,2367914.452,12755,217737,582645,2367915,48QWJ,0
66,5,1,5,7.356615123,47.13293907,32,375372.2001,5221247.479,5846,79292,375375,5221245,32TLT,0
67,2,1,2,-69.81515934,-40.76296433,19,431198.4901,-4512763.97,7707,460425,431205,-4512765,19GDQ,0
68,3,1,3,5.377989915,51.06030053,31,666636.209,5659220.934,15555,108027,666645,5659215,31UFS,0
69,3,1,3,105.8567429,31.14879004,48,581664.0266,3446407.632,12722,181787,581655,3446415,48RWV,0
70,3,1,3,-124.2022043,43.66187641,10,403068.3084,4835021.458,3435,128832,403065,4835025,10TDP,0
71,4,1,4,-35.665544,-5.145260965,25,204473.2965,-569338.0927,149,328977,204465,-569325,25MBQ,0
72,2,1,2,73.37093598,25.67617278,43,336508.8383,2840830.057,4550,205305,336495,2840835,43RCJ,0
73,4,1,4,-90.23828109,19.10552572,15,790575.9117,2114797.118,19686,236174,790575,2114805,15QYB,0
74,2,1,2,99.91541001,16.11860984,47,597886.7151,1782272.515,13263,243924,597885,1782285,47PNT,0
75,4,1,4,-98.19651357,34.06522925,14,574144.3785,3769679.722,12472,177678,574155,3769665,14SNC,0
76,2,1,2,116.6359677,32.43679353,50,465779.1151,3588910.944,8859,163703,465765,3588915,50SMA,0
77,2,1,2,35.18694676,0.541794807,36,743401.1094,59928.56435,18114,261336,743415,59925,36NYF,0
78,4,1,4,-110.6980695,30.73561917,12,528903.3944,3400341.419,10964,179989,528915,3400335,12RWV,0
79,3,1,3,-99.17917883,43.36207391,14,485481.4751,4801039.353,9516,143299,485475,4801035,14TMP,0
80,5,1,5,103.8695242,27.36639644,48,388201.2074,3027525.112,6274,195750,388215,3027525,48RUR,0
81,3,1,3,-94.58299627,47.76526426,15,381382.3553,5291424.23,6046,130287,381375,5291415,15UUP,0
82,3,1,3,90.63359824,22.66788551,46,256849.3663,2508691.438,1895,219710,256845,2508705,46QBL,0
83,3,1,3,112.781211,-8.116937732,49,696262.2226,-897656.3796,16542,323255,696255,-897645,49MFM,0
84,5,1,5,116.0155046,0.070735971,50,390444.9691,7819.612236,6348,283073,390435,7815,50NLF,18
85,4,1,4,-40.02797297,-2.89746232,24,385751.4631,-320311.1952,6192,320677,385755,-320325,24MUB,0
86,3,1,3,105.721395,18.71098373,48,576058.48,2069002.543,12535,227701,576045,2068995,48QWF,0
87,2,1,2,39.12479561,8.965695499,37,513718.0834,991061.899,10457,266964,513705,991065,37PEL,0
88,2,1,2,73.30737855,33.1408487,43,342124.755,3668176.727,4738,177727,342135,3668175,43SCS,0
89,3,1,3,84.64772243,19.73404648,45,253475.0324,2183760.718,1783,230541,253485,2183775,45QTB,0
90,5,1,5,116.0487712,32.82237483,50,410960.843,3631996.332,7032,162267,410955,3631995,50SMB,0
91,2,1,2,-73.23078585,-40.91176843,18,648995.2775,-4530469.366,14967,461015,649005,-4530465,18GXV,0
92,2,1,2,133.8568761,34.16838809,53,394641.1432,3781417.1,6488,157286,394635,3781425,53SLT,0
93,5,1,5,-89.72853246,13.97122748,16,205207.9222,1546239.847,174,258458,205215,1546245,16PBA,0
94,4,1,4,104.3250291,30.98394761,48,435551.6936,3428018.359,7852,182400,435555,3428025,48RVV,0
95,4,1,4,80.84190738,20.64596875,44,483531.1753,2282974.851,9451,223900,483525,2282985,44QMH,0
96,3,1,3,-8.060937949,38.05769448,29,582383.3988,4212632.576,12746,162912,582375,4212645,29SNC,0
97,4,1,4,2.298635632,36.54022722,31,437221.1739,4044099.037,7908,161864,437235,4044105,31SDA,0
98,5,1,5,174.2303782,-35.60588537,60,249112.7556,-3943768.824,1637,398126,249105,-3943755,60HTF,0
99,2,1,2,38.69784667,7.970702402,37,466700.4258,881071.1342,8890,270630,466695,881085,37NDJ,0
100,2,1,2,56.55781754,24.50141248,40,455200.8264,2709813.394,8507,216340,455205,2709825,40RDN,0
101,4,1,4,136.5034711,35.09713123,53,637037.2813,3884848.54,14568,153839,637035,3884835,53SPU,0
102,4,1,4,151.0132129,-34.08260938,56,316688.5388,-3773097.084,3890,412437,316695,-3773085,56HLH,0
103,3,1,3,86.85757956,27.00552227,45,485870.4105,2987054.859,9529,203765,485865,2987055,45RVK,0
104,4,1,4,85.44053672,25.95121693,45,343856.1709,2871211.48,4795,207626,343845,2871225,45RUJ,0
105,3,1,3,107.8640849,36.43722799,48,756732.5154,4036258.207,18558,162126,756735,4036245,48SYF,0
106,3,1,3,34.74260223,-0.894043014,36,693914.6358,-98864.71922,16464,266629,693915,-98865,36MXE,0
107,5,1,5,-56.46948806,-6.038686299,21,558708.1305,-667509.6314,11957,332250,558705,-667515,21MWP,14
108,5,1,5,-55.29611373,-15.42640739,21,682835.744,-1706212.742,16095,366873,682845,-1706205,21LXD,0
109,4,1,4,76.49486206,15.03769509,43,660696.5313,1663039.23,15357,244565,660705,1663035,43PFS,0
110,4,1,4,113.1230672,25.04681009,49,714188.5176,2771811.517,17140,200940,714195,2771805,49RGH,0
111,3,1,3,-97.66187351,37.78208117,14,617833.4282,4182480.018,13928,163917,617835,4182495,14SPG,0
112,2,1,2,-7.234352206,41.69411205,29,646927.6858,4617320.832,14898,149423,646935,4617315,29TPG,0
113,4,1,4,34.49112699,-5.699652616,36,665128.6428,-630217.1293,15504,284341,665115,-630225,36MXU,0
114,2,1,2,35.66775747,38.91256065,36,731307.6594,4310457.264,17710,119652,731295,4310445,36SYJ,0
115,4,1,4,99.94412133,1.224308846,47,605038.0238,135341.6121,13501,298822,605025,135345,47NPB,12
116,5,1,5,112.6845311,29.4943539,49,663298.6546,3263939.908,15443,184536,663285,3263925,49RFN,0
117,4,1,4,-92.08851467,31.1000104,15,586926.6909,3441042.852,12898,191966,586935,3441045,15RWQ,0
118,2,1,2,113.1724182,32.90604962,49,703173.1703,3642964.794,16773,171901,703185,3642975,49SGS,0
119,3,1,3,97.80282162,16.89039168,47,372486.8517,1867816.774,5750,241073,372495,1867815,47QLU,0
120,4,1,4,73.38126678,26.14545484,43,338187.7149,2892799.613,4606,203573,338175,2892795,43RCK,0
121,5,1,5,19.65909274,51.57388258,34,407076.4465,5714497.862,6903,76184,407085,5714505,34UDC,0
122,3,1,3,34.56777929,9.323511155,36,672185.5418,1031000.709,15740,228967,672195,1030995,36PXR,0
