granuleID,SensingTime,VEG-IND,VEG-ANOM,VBaseline,VBaselineCount,NDVI,NDVIbaseline
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230716T141444Z_20231221T043814Z_L9_30_v1_VEG-DIST-STATUS,20230716,255,255,11,0,22,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230716T141719Z_20231221T043825Z_S2B_30_v1_VEG-DIST-STATUS,20230716,255,255,11,0,22,0
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230719T142719Z_20231221T043836Z_S2B_30_v1_VEG-DIST-STATUS,20230719,255,255,11,0,21,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230721T141711Z_20231221T043848Z_S2A_30_v1_VEG-DIST-STATUS,20230721,15,0,11,0,21,1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230723T142053Z_20231221T043859Z_L9_30_v1_VEG-DIST-STATUS,20230723,255,255,11,0,19,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230724T141453Z_20231221T043910Z_L8_30_v1_VEG-DIST-STATUS,20230724,17,0,11,0,19,1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230724T142721Z_20231221T043921Z_S2A_30_v1_VEG-DIST-STATUS,20230724,255,255,11,0,19,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230726T141719Z_20231221T043932Z_S2B_30_v1_VEG-DIST-STATUS,20230726,13,0,8,0,22,1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230729T142719Z_20231221T043943Z_S2B_30_v1_VEG-DIST-STATUS,20230729,255,255,8,0,21,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230731T142109Z_20231221T043954Z_L8_30_v1_VEG-DIST-STATUS,20230731,255,255,8,0,23,1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230801T141450Z_20231221T044005Z_L9_30_v1_VEG-DIST-STATUS,20230801,15,0,8,0,22,0
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230803T142721Z_20231221T044016Z_S2A_30_v1_VEG-DIST-STATUS,20230803,255,255,8,0,21,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230805T141719Z_20231221T044028Z_S2B_30_v1_VEG-DIST-STATUS,20230805,12,0,7,0,22,1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230808T142104Z_20231221T044039Z_L9_30_v1_VEG-DIST-STATUS,20230808,255,255,7,0,23,-1
OPERA_L3_DIST-ALERT-HLS_T19HFC_20230808T142719Z_20231221T044050Z_S2B_30_v1_VEG-DIST-STATUS,20230808,255,255,7,0,23,-1
